seed,dim,rows,cols,rank,spectral_family,condition_number,sv_assignment_matches_svd,is_complex,target,degree,component,tolerance,convention_error_vs_encoded,end_to_end_error_vs_target,status
770400,6x4,6,4,4,well_conditioned,1.1111111111111118,False,False,monomial_x3,3,imag,1e-08,4.800678940040049e-16,5.280746834043313e-14,pass
770400,6x4,6,4,4,well_conditioned,1.1111111111111118,False,False,ridge_filter_d7,7,imag,1e-08,2.296190349158021e-15,2.8938799548112245e-08,pass
770400,6x4,6,4,4,well_conditioned,1.1111111111111118,False,False,ridge_filter_d31,31,imag,1e-08,1.4511350149467506e-15,1.1956053754179489e-09,pass
770400,6x4,6,4,4,well_conditioned,1.1111111111111118,False,False,ridge_filter_d255,255,imag,1e-06,1.160490005126673e-14,1.0582857503414304e-10,pass
770401,6x4,6,4,4,moderate_condition,3.3333333333333335,False,False,monomial_x1,1,neg_imag,1e-08,1.5851345445339542e-16,6.388092214470957e-14,pass
770401,6x4,6,4,4,moderate_condition,3.3333333333333335,False,False,monomial_x3,3,imag,1e-08,2.505887508344985e-16,7.698086425634699e-14,pass
770401,6x4,6,4,4,moderate_condition,3.3333333333333335,False,False,ridge_filter_d7,7,imag,1e-08,1.2417622959149992e-15,7.156478872258469e-07,pass
770401,6x4,6,4,4,moderate_condition,3.3333333333333335,False,False,ridge_filter_d31,31,imag,1e-08,2.847685350157563e-15,7.284459180069028e-08,pass
770401,6x4,6,4,4,moderate_condition,3.3333333333333335,False,False,ridge_filter_d255,255,imag,1e-06,1.9410308049620084e-14,2.728684812708864e-08,pass
770402,6x4,6,4,4,nearly_rank_deficient,3333.333333334907,False,False,monomial_x1,1,neg_imag,1e-08,4.868360968591345e-16,5.6310708536698804e-14,pass
770402,6x4,6,4,4,nearly_rank_deficient,3333.333333334907,False,False,monomial_x3,3,imag,1e-08,1.3034488321819795e-15,6.727801279953721e-14,pass
770402,6x4,6,4,4,nearly_rank_deficient,3333.333333334907,False,False,ridge_filter_d7,7,imag,1e-08,6.790800703198643e-15,8.586288092663803e-07,pass
770402,6x4,6,4,4,nearly_rank_deficient,3333.333333334907,False,False,ridge_filter_d31,31,imag,1e-08,7.693103298080739e-15,1.5107679407505932e-08,pass
770402,6x4,6,4,4,nearly_rank_deficient,3333.333333334907,False,False,ridge_filter_d255,255,imag,1e-06,4.687931937401357e-14,8.993831088362391e-09,pass
770403,6x4,6,4,4,exact_zero_singular_values,inf,True,False,monomial_x1,1,neg_imag,1e-08,9.420554752103947e-16,5.204856500536714e-14,pass
770403,6x4,6,4,4,exact_zero_singular_values,inf,True,False,monomial_x3,3,imag,1e-08,1.2373249530875872e-15,6.666997982518043e-14,pass
770403,6x4,6,4,4,exact_zero_singular_values,inf,True,False,ridge_filter_d7,7,imag,1e-08,1.8905821271173524e-15,3.753342333838665e-07,pass
770403,6x4,6,4,4,exact_zero_singular_values,inf,True,False,ridge_filter_d31,31,imag,1e-08,5.000179908477899e-15,1.0645728522212183e-08,pass
770403,6x4,6,4,4,exact_zero_singular_values,inf,True,False,ridge_filter_d255,255,imag,1e-06,3.065165160165798e-14,3.923090690644111e-09,pass
770404,6x4,6,4,4,repeated_singular_values,1.0000000000000007,True,False,monomial_x1,1,neg_imag,1e-08,1.8834140596322218e-16,5.559045287587393e-14,pass
770404,6x4,6,4,4,repeated_singular_values,1.0000000000000007,True,False,monomial_x3,3,imag,1e-08,4.0460022763314263e-16,6.781099815130335e-14,pass
770404,6x4,6,4,4,repeated_singular_values,1.0000000000000007,True,False,ridge_filter_d7,7,imag,1e-08,1.7441120975042207e-15,1.5584606453737824e-07,pass
770404,6x4,6,4,4,repeated_singular_values,1.0000000000000007,True,False,ridge_filter_d31,31,imag,1e-08,3.882117558700256e-15,3.862622256667055e-09,pass
770404,6x4,6,4,4,repeated_singular_values,1.0000000000000007,True,False,ridge_filter_d255,255,imag,1e-06,3.179498784343223e-14,1.8883325880435028e-09,pass
770405,6x4,6,4,4,clustered_singular_values,1.0422535211267605,False,False,monomial_x1,1,neg_imag,1e-08,3.062320099078555e-16,4.428880443291752e-14,pass
770405,6x4,6,4,4,clustered_singular_values,1.0422535211267605,False,False,monomial_x3,3,imag,1e-08,4.362284064692233e-16,5.183847563541757e-14,pass
